;V9;starttime;end;diff;;;;Filename correct;Timestamp correct;Comment;action;
51;FARALLON3_20190501_223725.avi;2019-05-01;22:37:25;2019-05-01;23:07:23;1.54354310035706;;;;;;
52;FARALLON3_20190501_224832.avi;2019-05-01;22:48:32;2019-05-01;23:23:00;-1131.15084815025;;Yes;No;Obviosly, this video is from a later date;remove;
119;FARALLON3_20190503_140002.avi;2019-05-03;14:00:02;2019-05-03;14:30:01;1.27711486816406;;yes;yes;;;
120;FARALLON3_20190503_141244.avi;2019-05-03;14:12:44;2019-05-03;15:01:21;-1037.00548934937;;;;hard to tell…;remove;
121;FARALLON3_20190503_143002.avi;2019-05-03;14:30:02;2019-05-03;15:00:00;-1879.71878027916;;;;;;
1804;FARALLON3_20190604_202113.avi;2019-06-04;20:21:13;2019-06-04;20:51:13;-231.773353338242;;;;;rename;FARALLON3_20190601_202113.avi
1805;FARALLON3_20190604_202506.avi;2019-06-04;20:25:06;2019-06-04;20:55:05;-1567.5419113636;;;;;;
1806;FARALLON3_20190604_205113.avi;2019-06-04;20:51:13;2019-06-04;21:21:11;-232.317385911942;;;;;rename;FARALLON3_20190601_205113.avi
1807;FARALLON3_20190604_205506.avi;2019-06-04;20:55:06;2019-06-04;21:25:04;-1565.69154405594;;;;;;
1808;FARALLON3_20190604_212113.avi;2019-06-04;21:21:13;2019-06-04;21:51:13;-231.137362003326;;;;;rename;FARALLON3_20190601_212113.avi
1809;FARALLON3_20190604_212506.avi;2019-06-04;21:25:06;2019-06-04;21:55:04;-1567.27556347847;;;;;;
1810;FARALLON3_20190604_215113.avi;2019-06-04;21:51:13;2019-06-04;22:21:12;-231.238601207733;;;;;rename;FARALLON3_20190601_215113.avi
1811;FARALLON3_20190604_215506.avi;2019-06-04;21:55:06;2019-06-04;22:10:48;-1566.15091180801;;;;;;
1812;FARALLON3_20190604_221049.avi;2019-06-04;22:10:49;2019-06-04;22:40:47;0.731287956237793;;;;;;
1813;FARALLON3_20190604_222113.avi;2019-06-04;22:21:13;2019-06-04;22:36:51;-1174.16355061531;;;;;rename;FARALLON3_20190601_222113.avi
1814;FARALLON3_20190604_223654.avi;2019-06-04;22:36:54;2019-06-04;23:06:52;2.68724322319031;;;;;rename;FARALLON3_20190604_223654.avi
1815;FARALLON3_20190604_224049.avi;2019-06-04;22:40:49;2019-06-04;23:10:47;-1563.19832134247;;;;;;
1816;FARALLON3_20190604_230654.avi;2019-06-04;23:06:54;2019-06-04;23:36:52;-233.163154840469;;;;;rename;FARALLON3_20190604_230654.avi
1817;FARALLON3_20190604_231049.avi;2019-06-04;23:10:49;2019-06-04;23:39:21;-1563.1594145298;;;;;;
1818;FARALLON3_20190604_233654.avi;2019-06-04;23:36:54;2019-06-05;00:00:01;-147.327105998993;;;;;rename;FARALLON3_20190601_233654.avi
1819;FARALLON3_20190604_234049.avi;2019-06-04;23:40:49;2019-06-04;23:52:07;-1152.74298477173;;;;;;
1894;FARALLON3_20190606_121748.avi;2019-06-06;12:17:48;2019-06-06;12:47:42;-784.641655683517;;;;time stamps changing around, not easy to know solution;remove;
1895;FARALLON3_20190606_123100.avi;2019-06-06;12:31:00;2019-06-06;12:46:54;-1002.88860011101;;;;;;
2859;FARALLON3_20190625_223646.avi;2019-06-25;22:36:46;2019-06-25;23:06:44;-243.11848282814;;;;;rename;FARALLON3_20190623_223646.avi
2860;FARALLON3_20190625_224051.avi;2019-06-25;22:40:51;2019-06-25;23:10:51;-1553.74991941452;;;;;;
2861;FARALLON3_20190625_230646.avi;2019-06-25;23:06:46;2019-06-25;23:36:43;-245.36718082428;;;;;rename;FARALLON3_20190623_230646.avi
2862;FARALLON3_20190625_231051.avi;2019-06-25;23:10:51;2019-06-25;23:40:48;-1552.54379200935;;;;;;
2863;FARALLON3_20190625_233646.avi;2019-06-25;23:36:46;2019-06-25;23:59:58;-242.432930707932;;;;;rename;FARALLON3_20190623_233646.avi
2864;FARALLON3_20190625_234051.avi;2019-06-25;23:40:51;2019-06-25;23:56:32;-1147.496509552;;;;;;
;FARALLON3_20190625_235646.avi;;;;;;;;;;rename;FARALLON3_20190623_235646.avi
3487;FARALLON3_20190711_000000.avi;2019-07-11;00:00:00;2019-07-11;02:15:37;1.79429006576538;;;;;;
3488;FARALLON3_20190711_000002.avi;2019-07-11;00:00:02;2019-07-11;02:15:39;-8135.33759760857;;;;;remove;
3489;FARALLON3_20190711_021549.avi;2019-07-11;02:15:49;2019-07-11;04:31:25;9.66240239143372;;;;;;
3490;FARALLON3_20190711_024300.avi;2019-07-11;02:43:00;2019-07-11;04:58:36;-6505.14386224747;;;;;remove;
3491;FARALLON3_20190711_043100.avi;2019-07-11;04:31:00;2019-07-11;06:46:36;-1656.14386224747;;;;;remove;
3492;FARALLON3_20190711_043124.avi;2019-07-11;04:31:24;2019-07-11;06:47:00;-8112.21019911766;;;;;;
3493;FARALLON3_20190711_064709.avi;2019-07-11;06:47:09;2019-07-11;09:02:45;8.78980088233948;;;;;remove;
3494;FARALLON3_20190711_064711.avi;2019-07-11;06:47:11;2019-07-11;09:02:47;-8134.06721305847;;;;;;
3495;FARALLON3_20190711_090200.avi;2019-07-11;09:02:00;2019-07-11;11:17:36;-47.0672130584717;;;;;remove;
3496;FARALLON3_20190711_090255.avi;2019-07-11;09:02:55;2019-07-11;11:18:31;-8081.8034119606;;;;;;
3500;FARALLON3_20190711_180539.avi;2019-07-11;18:05:39;2019-07-11;20:21:15;5.31343197822571;;;;;;
3501;FARALLON3_20190711_180555.avi;2019-07-11;18:05:55;2019-07-11;20:21:31;-8120.7048573494;;;;;remove;
3543;FARALLON3_20190715_094349.avi;2019-07-15;09:43:49;2019-07-15;11:59:25;1778.3077673912;;;;;rename;FARALLON3_20190715_091349.avi
3544;FARALLON3_20190715_112929.avi;2019-07-15;11:29:29;2019-07-15;13:45:05;-1796.14762568474;;;;;;
3547;FARALLON3_20190715_184634.avi;2019-07-15;18:46:34;2019-07-15;21:02:09;1805.38119649887;;;;;rename;FARALLON3_20190715_184634.avi
3548;FARALLON3_20190715_203214.avi;2019-07-15;20:32:14;2019-07-15;22:47:50;-1795.76494598389;;;;;;
3693;FARALLON3_20190729_114521.avi;2019-07-29;11:45:21;2019-07-29;14:00:57;1803.22001600266;;;;;rename;FARALLON3_20190729_111521.avi
3694;FARALLON3_20190729_133058.avi;2019-07-29;13:30:58;2019-07-29;15:46:34;-1799.04493522644;;;;;;
3703;FARALLON3_20190730_095206.avi;2019-07-30;09:52:06;2019-07-30;12:07:42;1.63932704925537;;;;;;
3704;FARALLON3_20190730_110241.avi;2019-07-30;11:02:41;2019-07-30;13:18:17;-3901.24191236496;;;;;rename;FARALLON3_20190730_211021.avi
3705;FARALLON3_20190730_120744.avi;2019-07-30;12:07:44;2019-07-30;14:23:20;-4233.84112358093;;;;;;
3789;FARALLON3_20200504_151906.avi;2020-05-04;15:19:06;2020-05-04;17:34:42;7599.31171107292;;;;;;
3790;FARALLON3_20200504_160759.avi;2020-05-04;16:07:59;2020-05-04;18:23:35;-5203.58591842651;;;;;rename;FARALLON3_20200504_130759.avi
3791;FARALLON3_20200504_173045.avi;2020-05-04;17:30:45;2020-05-04;19:46:21;-3170.4080452919;;;;;;
3811;FARALLON3_20200506_105650.avi;2020-05-06;10:56:50;2020-05-06;13:12:26;-256.530103683472;;;;;;
3812;FARALLON3_20200506_124229.avi;2020-05-06;12:42:29;2020-05-06;14:58:05;-1797.62965917587;;;;;rename;FARALLON3_20200506_194229.avi
3813;FARALLON3_20200506_130810.avi;2020-05-06;13:08:10;2020-05-06;15:23:46;-6595.42125201225;;;;;;
3844;FARALLON3_20200509_105639.avi;2020-05-09;10:56:39;2020-05-09;13:12:14;-263.737501859665;;;;;;
3845;FARALLON3_20200509_123036.avi;2020-05-09;12:30:36;2020-05-09;14:46:12;-2498.67743325233;;;;;rename;FARALLON3_20200509_173036.avi
3846;FARALLON3_20200509_130747.avi;2020-05-09;13:07:47;2020-05-09;15:23:23;-5905.60433197021;;;;;;
4081;FARALLON3_20200530_105723.avi;2020-05-30;10:57:23;2020-05-30;13:12:59;-251.640561342239;;;;;;
4082;FARALLON3_20200530_123152.avi;2020-05-30;12:31:52;2020-05-30;14:47:28;-2467.5830783844;;;;;rename;FARALLON3_20200530_173152.avi
4083;FARALLON3_20200530_130850.avi;2020-05-30;13:08:50;2020-05-30;15:24:26;-5918.07947325706;;;;;;
4093;FARALLON3_20200531_105735.avi;2020-05-31;10:57:35;2020-05-31;13:13:11;-247.405787229538;;;;;;
4094;FARALLON3_20200531_123207.avi;2020-05-31;12:32:07;2020-05-31;14:47:43;-2464.64897274971;;;;;rename;FARALLON3_20200531_173207.avi
4095;FARALLON3_20200531_130907.avi;2020-05-31;13:09:07;2020-05-31;15:24:44;-5916.79799580574;;;;;;
4405;FARALLON3_20200629_105749.avi;2020-06-29;10:57:49;2020-06-29;13:13:25;-242.672592878342;;;;unclear, no action;;
4406;FARALLON3_20200629_124831.avi;2020-06-29;12:48:31;2020-06-29;15:04:07;-1494.65016770363;;;;unclear, no action;;
5116;FARALLON3_20210521_084641.avi;2021-05-21;08:46:41;2021-05-21;09:44:47;-247.477803945541;;;;unclear, no action;;
5117;FARALLON3_20210521_092702.avi;2021-05-21;09:27:02;2021-05-21;11:42:38;-1065.27632856369;;;;unclear, no action;;
5118;FARALLON3_20210521_094300.avi;2021-05-21;09:43:00;2021-05-21;10:28:51;-7178.11252140999;;;;unclear, no action;;
5152;FARALLON3_20210524_073436.avi;2021-05-24;07:34:36;2021-05-24;09:50:12;3353.72635865211;;;;unclear, no action;;
5153;FARALLON3_20210524_084614.avi;2021-05-24;08:46:14;2021-05-24;08:50:49;-3838.93575167656;;;;unclear, no action;;
5154;FARALLON3_20210524_095555.avi;2021-05-24;09:55:55;2021-05-24;12:11:31;3905.92185306549;;;;unclear, no action;;
5155;FARALLON3_20210524_110729.avi;2021-05-24;11:07:29;2021-05-24;13:23:05;-3842.34069991112;;;;unclear, no action;;
5600;FARALLON3_20210702_155100.avi;2021-07-02;15:51:00;2021-07-02;18:06:35;1883.24285078049;;;;completely wrong clock on video but probably correct time stamp in name, no action;;
5601;FARALLON3_20210702_172600.avi;2021-07-02;17:26:00;2021-07-02;19:41:36;-2435.8011367321;;;;completely wrong clock on video but probably correct time stamp in name, no action;;
5614;FARALLON3_20210703_223400.avi;2021-07-03;22:34:00;2021-07-04;00:42:32;-276.659394025803;;;;completely wrong clock on video but probably correct time stamp in name, no action;;
5615;FARALLON3_20210703_235927.avi;2021-07-03;23:59:27;2021-07-04;02:15:03;-2585.93172121048;;;;completely wrong clock on video but probably correct time stamp in name, no action;;
5624;FARALLON3_20210704_213758.avi;2021-07-04;21:37:58;2021-07-04;23:53:34;-254.799927949905;;;;;;
5625;FARALLON3_20210704_215152.avi;2021-07-04;21:51:52;2021-07-05;00:07:28;-7302.95051050186;;;;;rename;FARALLON3_20210704_125152.avi
5626;FARALLON3_20210704_234931.avi;2021-07-04;23:49:31;2021-07-04;23:59:59;-1077.40092206001;;;;;;
5678;FARALLON3_20210709_084653.avi;2021-07-09;08:46:53;2021-07-09;10:00:46;-244.657772064209;;;;;;
5679;FARALLON3_20210709_091128.avi;2021-07-09;09:11:28;2021-07-09;11:27:04;-2958.86130642891;;;;unclear, no action;;
5780;FARALLON3_20210718_152019.avi;2021-07-18;15:20:19;2021-07-18;17:35:54;-246.200375318527;;;;unclear, no action;;
5781;FARALLON3_20210718_163144.avi;2021-07-18;16:31:44;2021-07-18;18:47:19;-3850.9638941288;;;;unclear, no action;;
5901;FARALLON3_20210729_103000.avi;2021-07-29;10:30:00;2021-07-29;12:45:36;3720.72352743149;;;;unclear, no action;;
5902;FARALLON3_20210729_121534.avi;2021-07-29;12:15:34;2021-07-29;14:31:10;-1802.45895600319;;;;unclear, no action;;
5914;FARALLON3_20210730_123000.avi;2021-07-30;12:30:00;2021-07-30;14:45:35;3796.07312107086;;;;;;
5915;FARALLON3_20210730_134438.avi;2021-07-30;13:44:38;2021-07-30;16:00:13;-3657.77912282944;;;;;;
;FARALLON3_20200508_068431.avi;;;;;;;;;;rename;FARALLON3_20200508_063431.avi
;FARALLON3_20200523_021184.avi;;;;;;;;;;rename;FARALLON3_20200523_021134.avi
;FARALLON3_20200508_105780.avi;;;;;;;;;;rename;FARALLON3_20200508_105730.avi